Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Ireland,357,2020-07-31,2020-07,211.7407897435702,0.8670769223513511,53.41291,-8.24389,2.552668216112193,Jul
Italy,581,2020-07-31,2020-07,263.67948830091484,0.6275709213721051,41.87194,12.56738,2.7641761323903307,Jul
Latvia,16,2020-07-31,2020-07,304.6726892931708,0.25660689793816155,56.879635,24.603189,1.2041199826559248,Jul
Lithuania,29,2020-07-31,2020-07,321.7586482121394,0.20289389947454003,55.169438,23.881275,1.462397997898956,Jul
Luxembourg,182,2020-07-31,2020-07,296.47166951497394,0.7286666731039683,49.815273,6.129583,2.2600713879850747,Jul
Malta,20,2020-07-31,2020-07,272.5637512207031,0.5529999956488609,35.937496,14.375416,1.3010299956639813,Jul
Moldova,191,2020-07-31,2020-07,388.34535616920107,0.023119047780277298,47.411631,28.369885,2.2810333672477277,Jul
Montenegro,75,2020-07-31,2020-07,325.1507137843541,0.16219642838197096,42.708678,19.374389999999998,1.8750612633917,Jul
Netherlands,359,2020-07-31,2020-07,282.0757942199707,0.8996761376884851,52.132633,5.291266,2.5550944485783194,Jul
North_Macedonia,230,2020-07-31,2020-07,355.21636176831794,0.06090909102226071,41.62,21.719,2.361727836017593,Jul
Norway,47,2020-07-31,2020-07,253.48040385373244,0.7155547526185001,60.472024,8.468946,1.6720978579357175,Jul
Poland,45,2020-07-31,2020-07,315.0745601079934,0.287843924136199,51.919438,19.145136,1.6532125137753437,Jul
Portugal,169,2020-07-31,2020-07,254.86981933370177,0.6298754596229874,39.399872,-8.224454,2.2278867046136734,Jul
Romania,120,2020-07-31,2020-07,380.7461110062284,0.04496896100970797,45.943161,24.96676,2.0791812460476247,Jul
Serbia,65,2020-07-31,2020-07,360.19742180319395,0.09717279423185733,44.016521,21.005859,1.8129133566428555,Jul
Slovakia,5,2020-07-31,2020-07,343.86798891813856,0.1402010869072831,48.669026,19.699024,0.6989700043360189,Jul
Slovenia,56,2020-07-31,2020-07,310.53410065479767,0.30189743561622423,46.151241,14.995463,1.7481880270062005,Jul
Spain,608,2020-07-31,2020-07,258.7664000842036,0.698839368760939,40.463667,-3.74922,2.783903579272735,Jul
Sweden,568,2020-07-31,2020-07,238.33281464476684,0.8365069936185919,60.128161,18.643501,2.754348335711019,Jul
Switzerland,229,2020-07-31,2020-07,291.5259725782606,0.6517916686005063,46.818188,8.227512,2.359835482339888,Jul
UK,677,2020-07-31,2020-07,232.86706637329286,0.8525882348485662,55.378051,-3.435973,2.8305886686851442,Jul
Ukraine,38,2020-07-31,2020-07,357.8369170162413,0.1361132811624783,48.379433,31.16558,1.5797835966168101,Jul
Albania,99,2020-08-31,2020-08,NA,0.2690104166589056,41.153332,20.168331,1.99563519459755,Aug
Austria,81,2020-08-31,2020-08,NA,0.4486060613032543,47.516231,14.550072,1.9084850188786497,Aug
Belarus,72,2020-08-31,2020-08,NA,0.1742838136903413,53.709807,27.953389,1.8573324964312685,Aug
Belgium,853,2020-08-31,2020-08,NA,0.7884531267918646,50.503887,4.469936,2.930949031167523,Aug
Bosnia_and_H,186,2020-08-31,2020-08,NA,0.1960170450408689,43.915886,17.679076,2.2695129442179165,Aug
Bulgaria,91,2020-08-31,2020-08,NA,0.019646666791910926,42.733883,25.48583,1.9590413923210936,Aug
Croatia,45,2020-08-31,2020-08,NA,0.2675735290052698,45.1,15.2,1.6532125137753437,Aug
Czechia,40,2020-08-31,2020-08,NA,0.4116814812438356,49.817492,15.472962,1.6020599913279625,Aug
Denmark,108,2020-08-31,2020-08,NA,0.854504386583964,56.26392,9.501785,2.03342375548695,Aug
Estonia,48,2020-08-31,2020-08,NA,0.36886507922983064,58.595272,25.013607,1.6812412373755872,Aug
Finland,61,2020-08-31,2020-08,NA,0.5334804314508257,61.92411,25.748151,1.7853298350107671,Aug
France,469,2020-08-31,2020-08,NA,0.6724000888572764,46.227638,2.213749,2.6711728427150834,Aug
Germany,112,2020-08-31,2020-08,NA,0.6852279281562513,51.165691,10.451526,2.0492180226701815,Aug
Greece,26,2020-08-31,2020-08,NA,0.12189611581944151,39.074208,21.824312,1.414973347970818,Aug
Hungary,64,2020-08-31,2020-08,NA,0.1111111110938644,47.162494,19.503304,1.806179973983887,Aug
Ireland,359,2020-08-31,2020-08,NA,0.6061754814850596,53.41291,-8.24389,2.5550944485783194,Aug
Italy,587,2020-08-31,2020-08,NA,0.6095314081994158,41.87194,12.56738,2.7686381012476144,Aug
Latvia,18,2020-08-31,2020-08,NA,0.34561724068018895,56.879635,24.603189,1.255272505103306,Aug
Lithuania,32,2020-08-31,2020-08,NA,0.29433156504476105,55.169438,23.881275,1.505149978319906,Aug
Luxembourg,198,2020-08-31,2020-08,NA,0.7571666687726974,49.815273,6.129583,2.296665190261531,Aug
Malta,27,2020-08-31,2020-08,NA,0.7589999884366989,35.937496,14.375416,1.4313637641589874,Aug
Moldova,247,2020-08-31,2020-08,NA,0.0024404762440272385,47.411631,28.369885,2.392696953259666,Aug
Montenegro,159,2020-08-31,2020-08,NA,0.13137499974774464,42.708678,19.374389999999998,2.2013971243204513,Aug
Netherlands,363,2020-08-31,2020-08,NA,0.7841136330230669,52.132633,5.291266,2.5599066250361124,Aug
North_Macedonia,289,2020-08-31,2020-08,NA,0.061772727449847895,41.62,21.719,2.4608978427565478,Aug
Norway,49,2020-08-31,2020-08,NA,0.7348114968747363,60.472024,8.468946,1.6901960800285136,Aug
Poland,54,2020-08-31,2020-08,NA,0.28346042346713884,51.919438,19.145136,1.7323937598229686,Aug
Portugal,179,2020-08-31,2020-08,NA,0.6020952382367173,39.399872,-8.224454,2.2528530309798933,Aug
Romania,188,2020-08-31,2020-08,NA,0.028434547977760818,45.943161,24.96676,2.27415784926368,Aug
Serbia,82,2020-08-31,2020-08,NA,0.07461397065644097,44.016521,21.005859,1.9138138523837167,Aug
Slovakia,6,2020-08-31,2020-08,NA,0.10572826114746378,48.669026,19.699024,0.7781512503836436,Aug
Slovenia,64,2020-08-31,2020-08,NA,0.20792307609166855,46.151241,14.995463,1.806179973983887,Aug
Spain,622,2020-08-31,2020-08,NA,0.6530276490197596,40.463667,-3.74922,2.7937903846908188,Aug
Sweden,574,2020-08-31,2020-08,NA,0.8719213284630251,60.128161,18.643501,2.7589118923979736,Aug
Switzerland,232,2020-08-31,2020-08,NA,0.6711944432722198,46.818188,8.227512,2.3654879848909,Aug
UK,611,2020-08-31,2020-08,NA,0.676715686287995,55.378051,-3.435973,2.786041210242554,Aug
Ukraine,59,2020-08-31,2020-08,NA,0.10191536462136558,48.379433,31.16558,1.7708520116421442,Aug
